Timestamp;Filename;Latitude;North/South;Longitude;East/West
24-04-2023 15:06:11;image_161.jpg;51/1,35/1,404/10;N;121/1,50/1,240/10;W
24-04-2023 15:07:00;image_162.jpg;51/1,46/1,528/10;N;116/1,57/1,368/10;W
24-04-2023 15:07:49;image_163.jpg;51/1,44/1,476/10;N;112/1,2/1,35/10;W
24-04-2023 15:08:39;image_164.jpg;51/1,29/1,166/10;N;107/1,7/1,352/10;W
24-04-2023 15:09:27;image_165.jpg;51/1,1/1,52/10;N;102/1,22/1,62/10;W
24-04-2023 15:10:16;image_166.jpg;50/1,20/1,234/10;N;97/1,42/1,506/10;W
24-04-2023 15:11:05;image_167.jpg;49/1,27/1,378/10;N;93/1,11/1,426/10;W
24-04-2023 15:11:55;image_168.jpg;48/1,23/1,282/10;N;88/1,50/1,346/10;W
24-04-2023 15:12:44;image_169.jpg;47/1,8/1,407/10;N;84/1,40/1,431/10;W
24-04-2023 15:13:33;image_170.jpg;45/1,46/1,29/10;N;80/1,47/1,588/10;W
24-04-2023 15:14:22;image_171.jpg;44/1,14/1,201/10;N;77/1,5/1,508/10;W
24-04-2023 15:15:11;image_172.jpg;42/1,34/1,466/10;N;73/1,35/1,324/10;W
24-04-2023 15:16:00;image_173.jpg;40/1,47/1,475/10;N;70/1,16/1,45/10;W
24-04-2023 15:16:49;image_174.jpg;38/1,56/1,163/10;N;67/1,10/1,302/10;W
24-04-2023 15:17:38;image_175.jpg;36/1,58/1,229/10;N;64/1,13/1,428/10;W
24-04-2023 15:18:27;image_176.jpg;34/1,55/1,105/10;N;61/1,25/1,535/10;W
24-04-2023 15:19:16;image_177.jpg;32/1,47/1,127/10;N;58/1,46/1,225/10;W
24-04-2023 15:20:05;image_178.jpg;30/1,37/1,211/10;N;56/1,17/1,35/10;W
24-04-2023 15:20:54;image_179.jpg;28/1,23/1,135/10;N;53/1,53/1,470/10;W
24-04-2023 15:21:43;image_180.jpg;26/1,6/1,318/10;N;51/1,37/1,152/10;W
24-04-2023 15:22:32;image_181.jpg;23/1,46/1,504/10;N;49/1,25/1,582/10;W
24-04-2023 15:23:21;image_182.jpg;21/1,24/1,268/10;N;47/1,19/1,173/10;W
